
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                 4.62771            0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09        360.415              0.                 0.                 0.                 0.                15.0046E-06         0.                 0.                 0.                 0.         
                1.50279E-06      976.46               0.                 0.                 0.                 0.                29.7221E-06         0.                 0.                 0.                 0.         
                2.25097E-06        1.73919E+03        0.                 0.                 0.                 0.                43.2434E-06        23.4195E-12         0.                 0.                 0.         
                3.0035E-06         2.53568E+03        0.               109.202E-09          0.                 1.23156E-03       54.9664E-06       455.657E-12          0.                 0.                 0.         
                3.75168E-06        3.1668E+03         4.3539E-03       399.361E-09          0.                 0.                63.7971E-06         9.36734E-09        0.                 0.                 0.         
                4.50425E-06        3.58456E+03       73.1467E-03         0.               379.258E-06          0.                69.2197E-06        50.6125E-09         0.                 0.                 0.         
                5.25247E-06        3.73626E+03      274.86E-03           0.               839.301E-06        770.68E-06          70.7628E-06       183.245E-09          0.                 0.                 0.         
                6.00069E-06        3.51655E+03      834.562E-03         20.9175E-09         0.               838.534E-06         68.3627E-06       529.008E-09          0.                 0.                 0.         
                6.75326E-06        3.04657E+03        5.18921            2.04576E-06      599.23E-06           0.                62.4527E-06         1.27315E-06        0.                 0.                 0.         
                7.50148E-06        2.44429E+03       21.1439            10.7878E-06         0.                 0.                53.8817E-06         2.65613E-06        0.                 0.                 0.         
                8.25405E-06        1.74769E+03       55.6113             0.               595.852E-06          0.                43.5246E-06         5.00896E-06        0.                 0.                 0.         
                9.00227E-06        1.09777E+03      134.596              0.                 0.                 0.                32.6662E-06         8.61137E-06        0.                 0.                 0.         
                9.75049E-06      608.915            284.86               0.               282.465E-06          0.                22.1884E-06        13.6689E-06         0.                 0.                 0.         
               10.5031E-06       256.244            519.963            196.682E-06        357.036E-06          0.                12.8387E-06        20.2729E-06       212.822E-12          0.                 0.         
               11.2513E-06        50.0652           881.217              1.1043E-03         0.               556.696E-06          5.14262E-06       28.1867E-06       765.794E-12          0.                 0.         
               12.0038E-06         0.                 1.35888E+03        3.52397E-03       52.6847E-06         0.              -785.047E-09         37.0012E-06         2.38106E-09        0.                 0.         
               12.7521E-06         0.                 1.87378E+03       12.7954E-03        37.2251E-06         0.                -5.05978E-06       45.9114E-06        11.3578E-09         0.                 0.         
               13.5003E-06         0.                 2.45301E+03       54.4971E-03         0.                 1.15541E-03       -8.03975E-06       54.1167E-06        38.388E-09          0.                 0.         
               14.2529E-06         0.                 2.92165E+03      183.126E-03          0.                 2.35026E-03       -9.99236E-06       60.683E-06        110.838E-09          0.                 0.         
               15.0011E-06         0.                 3.22129E+03      453.896E-03          0.                 0.               -11.2962E-06        64.7763E-06       282.8E-09            0.                 0.         
               15.7535E-06         0.                 3.3267E+03         1.14671            0.                 0.               -12.1323E-06        65.9541E-06       648.79E-09           0.                 0.         
               16.5016E-06         0.                 3.16044E+03        6.65701            2.50016E-03      927.318E-06        -12.798E-06         64.0052E-06         1.35539E-06        0.                 0.         
               17.254E-06          0.                 2.80771E+03       20.9616           542.515E-06        870.709E-06        -13.3318E-06        59.1932E-06         2.60511E-06        0.                 0.         
               18.0021E-06         0.                 2.3142E+03        48.9186           216.161E-06        439.584E-06        -13.8468E-06        52.1574E-06         4.64438E-06        0.                 0.         
               18.7501E-06         0.                 1.74079E+03      116.597              0.               544.087E-06        -14.3703E-06        43.6924E-06         7.73985E-06        0.                 0.         
               19.5026E-06         0.                 1.21879E+03      235.109              0.               454.18E-06         -14.8875E-06        34.6864E-06        12.1282E-06         0.                 0.         
               20.2506E-06         0.               781.855            430.466              0.                 1.51935E-03      -15.3868E-06        26.0087E-06        17.8866E-06         3.63798E-12        0.         
               21.003E-06          0.               442.319            735.926              8.8738E-03         0.               -15.9011E-06        18.226E-06         24.9893E-06       636.646E-12          0.         
               21.7511E-06         0.               221.265              1.12927E+03        3.55928E-03        1.15145E-03      -16.4296E-06        11.8118E-06        33.0556E-06         1.98997E-09        0.         
               22.5035E-06         0.                93.0992             1.62554E+03       12.0811E-03       404.335E-06        -16.9625E-06         6.80648E-06       41.6235E-06         8.67294E-09        0.         
               23.2516E-06         0.                26.175              2.15133E+03       27.8614E-03       218.132E-06        -17.4506E-06         3.22804E-06       49.8634E-06        30.3044E-09         0.         
               24.004E-06          0.                 1.35976            2.65534E+03      138.19E-03         323.278E-06        -17.9938E-06       788.685E-09         57.0256E-06        84.8086E-09         0.         
               24.752E-06          0.                 0.                 3.01783E+03      359.812E-03        388.279E-06        -18.511E-06       -711.676E-09         62.1822E-06       217.973E-09          0.         
               25.5001E-06         0.                 0.                 3.22811E+03      874.102E-03          0.               -19.0183E-06        -1.62232E-06       64.7957E-06       500.313E-09          0.         
               26.2525E-06         0.                 0.                 3.19467E+03        3.41368            0.               -19.5354E-06        -2.13372E-06       64.518E-06          1.05845E-06        0.         
               27.0006E-06         0.                 0.                 2.96475E+03       14.8596           101.541E-06        -20.0405E-06        -2.39087E-06       61.3822E-06         2.06571E-06        0.         
               27.753E-06          0.                 0.                 2.56903E+03       33.4256           838.65E-06         -20.5769E-06        -2.56339E-06       55.7739E-06         3.7511E-06         0.         
               28.5011E-06         0.                 0.                 2.03733E+03       86.6401           764.968E-06        -21.0653E-06        -2.67812E-06       48.3649E-06         6.35081E-06        0.         
               29.2535E-06         0.                 0.                 1.52894E+03      172.443              8.11687E-03      -21.612E-06         -2.76169E-06       39.9546E-06        10.1401E-06         0.         
               30.0015E-06         0.                 0.                 1.03606E+03      338.623              0.               -22.1085E-06        -2.84154E-06       31.4476E-06        15.2448E-06         0.         
               30.754E-06          0.                 0.               662.174            588.721              0.               -22.6311E-06        -2.91991E-06       23.4425E-06        21.7147E-06       407.454E-12  
               31.5024E-06         0.                 0.               387.214            932.706              0.               -23.1296E-06        -3.02451E-06       16.5666E-06        29.2945E-06         1.34605E-09
               32.2508E-06         0.                 0.               191.933              1.38993E+03        3.54696E-03      -23.652E-06         -3.09621E-06       10.9821E-06        37.6015E-06         4.64206E-09
               33.0035E-06         0.                 0.                96.7935             1.88181E+03       24.6754E-03       -24.176E-06         -3.18453E-06        6.77077E-06       46.0167E-06        18.7283E-09 
               33.7519E-06         0.                 0.                34.4615             2.41699E+03      113.227E-03        -24.6758E-06        -3.26656E-06        3.81742E-06       53.6784E-06        54.7006E-09 
