
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                11.4438             0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09          1.1188E+03         0.                 0.                 0.                 0.                37.5102E-06         0.                 0.                 0.                 0.         
                1.50279E-06        2.46335E+03        0.                 0.                 0.                 0.                73.9582E-06         0.                 0.                 0.                 0.         
                2.25097E-06        4.02436E+03       23.3031E-06         0.                 0.                 0.               107.203E-06         87.3115E-12         0.                 0.                 0.         
                3.0035E-06         5.40982E+03        1.36878E-03        0.                 7.25981E-03        0.               136.435E-06          3.08319E-09        0.                 0.                 0.         
                3.75168E-06        6.43661E+03       50.92E-03          83.9678E-09         0.                 0.               159.266E-06         50.1977E-09         0.                 0.                 0.         
                4.50425E-06        7.35886E+03      283.454E-03        162.088E-09          0.                 0.               175.441E-06        223.043E-09          0.                 0.                 0.         
                5.25247E-06        7.56159E+03        1.12836          118.518E-09          0.                 0.               183.719E-06        687.935E-09          0.                 0.                 0.         
                6.00069E-06        7.12559E+03        9.32681            1.25857E-06        0.                 0.               184.28E-06           1.72486E-06        0.                 0.                 0.         
                6.75326E-06        5.93456E+03       30.7169             3.49399E-06        0.                 0.               178.009E-06          3.73277E-06        0.                 0.                 0.         
                7.50148E-06        3.86663E+03       94.1652             4.22152E-06      146.673E-06        207.852E-06        166.186E-06          7.01246E-06        0.                 0.                 0.         
                8.25405E-06        1.59273E+03      210.529             18.4969E-06         0.                 0.               152.169E-06         12.1073E-06         0.                 0.                 0.         
                9.00227E-06      151.028            409.378            186.831E-06          0.                 0.               138.642E-06         19.323E-06          0.                 0.                 0.         
                9.75049E-06        0.               718.454            774.242E-06          0.               235.853E-06        127.761E-06         28.7011E-06       283.762E-12          0.                 0.         
               10.5031E-06         0.                 1.14329E+03        2.25959E-03        0.                 0.               120.071E-06         40.3812E-06         1.18598E-09        0.                 0.         
               11.2513E-06         0.                 1.67526E+03        6.75024E-03        0.                 0.               115.076E-06         53.7471E-06         5.26779E-09        0.                 0.         
               12.0038E-06         0.                 2.28164E+03       27.4334E-03       452.925E-06          0.               113.163E-06         68.2579E-06        22.4391E-09         0.                 0.         
               12.7521E-06         0.                 2.91914E+03      111.699E-03        182.321E-06          0.               113.314E-06         82.4995E-06        68.0448E-09         0.                 0.         
               13.5003E-06         0.                 3.50865E+03      288.895E-03          0.                 0.               115.2E-06           95.0362E-06       184.402E-09          0.                 0.         
               14.2529E-06         0.                 3.84641E+03      754.708E-03          0.                43.1593E-06       117.61E-06         104.623E-06        436.594E-09          0.                 0.         
               15.0011E-06         0.                 4.15703E+03        2.08341            0.                 0.               119.83E-06         110.231E-06        925.429E-09          0.                 0.         
               15.7535E-06         0.                 4.19365E+03       12.2169             0.                 0.               122.375E-06        111.66E-06           1.79779E-06        0.                 0.         
               16.5016E-06         0.                 3.81917E+03       27.8062             0.                 0.               124.668E-06        108.929E-06          3.23657E-06        0.                 0.         
               17.254E-06          0.                 2.99253E+03       65.2722             0.               771.18E-06         127.27E-06         102.738E-06          5.46777E-06        0.                 0.         
               18.0021E-06         0.                 1.95027E+03      130.074              0.                 0.               129.523E-06         94.4394E-06         8.7025E-06         0.                 0.         
               18.7501E-06         0.               906.785            248.365              0.                 0.               131.866E-06         85.3045E-06        13.1152E-06         0.                 0.         
               19.5026E-06         0.               199.69             416.041            845.796E-06        475.943E-06        134.41E-06          76.7198E-06        18.8458E-06         0.                 0.         
               20.2506E-06        52.6645             0.               608.026              2.24949E-03        0.               136.718E-06         69.7395E-06        25.827E-06        800.355E-12          0.         
               21.003E-06        219.358              0.               912.071              0.                 0.               139.304E-06         64.4941E-06        33.9433E-06         2.51748E-09        0.         
               21.7511E-06       448.147              0.                 1.2519E+03        21.6089E-03         0.               141.22E-06          61.1744E-06        42.836E-06         10.7757E-09         0.         
               22.5035E-06       476.471              0.                 1.63342E+03       36.8352E-03         0.               142.975E-06         59.3445E-06        52.032E-06         33.5931E-09         0.         
               23.2516E-06       652.054              0.                 1.93301E+03      155.307E-03          0.               143.958E-06         58.921E-06         60.772E-06         84.8013E-09         0.         
               24.004E-06        758.522              0.                 2.31399E+03      331.333E-03          0.               144.409E-06         59.3484E-06        68.4086E-06       202.41E-09           0.         
               24.752E-06        591.824              0.                 2.46875E+03      758.225E-03        332.732E-06        144.043E-06         60.3037E-06        73.9072E-06       426.058E-09          0.         
               25.5001E-06       553.457              0.                 2.68062E+03        1.50985            0.               142.774E-06         61.3806E-06        76.9936E-06       831.176E-09          0.         
               26.2525E-06       443.648              0.                 2.65748E+03        9.48376            1.39356E-03      141.31E-06          62.4239E-06        77.5353E-06         1.52359E-06        0.         
               27.0006E-06       218.159              0.                 2.43485E+03       21.0427           515.436E-06        139.361E-06         63.7632E-06        75.4209E-06         2.61112E-06        0.         
               27.753E-06        118.405              0.                 1.9891E+03        41.5437             0.               137.789E-06         65.414E-06         71.2793E-06         4.2148E-06         0.         
