
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                 2.32723            0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09        124.154              0.                 0.                 0.                 0.                 7.50244E-06        0.                 0.                 0.                 0.         
                1.50279E-06      340.417            784.449E-06          0.               780.327E-06        831.925E-06         14.9139E-06         0.                 0.                 0.                 0.         
                2.25097E-06      595.357            740.938E-06          0.               741.484E-06        737.529E-06         21.9013E-06         7.38964E-12        0.                 0.                 0.         
                3.0035E-06       830.029              0.                10.3674E-06         0.                 1.6144E-03        28.2993E-06       153.705E-12          0.                 0.                 0.         
                3.75168E-06        1.09963E+03        1.21776E-03       16.4965E-06         0.                 1.49591E-03       33.7179E-06         1.1521E-09         0.                 0.                 0.         
                4.50425E-06        1.26786E+03        2.33443E-03        0.                 0.                 0.                37.9565E-06         8.89941E-09        0.                 0.                 0.         
                5.25247E-06        1.40089E+03       48.0206E-03         0.                 0.                29.5027E-03        40.7763E-06        34.0237E-09         0.                 0.                 0.         
                6.00069E-06        1.46166E+03      168.147E-03          0.                 0.                 0.                42.1413E-06        97.3473E-09         0.                 0.                 0.         
                6.75326E-06        1.43377E+03      406.266E-03          0.                 0.                 0.                41.9462E-06       244.785E-09          0.                 0.                 0.         
                7.50148E-06        1.32086E+03      957.637E-03          0.                 5.70787E-03        0.                40.3084E-06       519.188E-09          0.                 0.                 0.         
                8.25405E-06        1.13072E+03        3.38884            0.                 0.                 1.00453E-03       37.4241E-06         1.00984E-06        0.                 0.                 0.         
                9.00227E-06      885.4               12.7445             0.               385.827E-06          0.                33.6161E-06         1.79179E-06        0.                 0.                 0.         
                9.75049E-06      639.206             25.8282             0.                 0.               413.531E-06         29.2278E-06         2.9639E-06         0.                 0.                 0.         
               10.5031E-06       393.605             51.4025             0.               779.449E-06          0.                24.5931E-06         4.60405E-06        0.                 0.                 0.         
               11.2513E-06       181.694             99.4049             0.               311.037E-06          0.                20.1677E-06         6.77233E-06        0.                 0.                 0.         
               12.0038E-06        50.5844           161.876            134.663E-06        960.827E-06          0.                16.1919E-06         9.50459E-06      142.791E-12          0.                 0.         
               12.7521E-06         0.               262.237            651.962E-06        746.379E-06          0.                12.835E-06         12.7167E-06       429.281E-12          0.                 0.         
               13.5003E-06         0.               376.995              1.76147E-03      592.809E-06          0.                10.1836E-06        16.331E-06          1.08321E-09        0.                 0.         
               14.2529E-06         0.               516.622              4.17894E-03      686.832E-06          0.                 8.15534E-06       20.1735E-06         2.46291E-09        0.                 0.         
               15.0011E-06         0.               673.144              9.86614E-03        0.                 0.                 6.69815E-06       24.0265E-06         6.73481E-09        0.                 0.         
               15.7535E-06         0.               801.535             27.6273E-03         0.                 0.                 5.70733E-06       27.636E-06         20.1271E-09         0.                 0.         
               16.5016E-06         0.               947.346             89.016E-03          0.                 0.                 5.07414E-06       30.7101E-06        48.9417E-09         0.                 0.         
               17.254E-06          0.                 1.0617E+03       185.246E-03          0.                 0.                 4.73282E-06       33.048E-06        106.766E-09          0.                 0.         
               18.0021E-06         0.                 1.11231E+03      379.7E-03            0.                 0.                 4.49801E-06       34.3937E-06       220.76E-09           0.                 0.         
               18.7501E-06         0.                 1.12661E+03      780.382E-03        398.073E-06          0.                 4.3672E-06        34.6985E-06       420.883E-09          0.                 0.         
               19.5026E-06         0.                 1.07176E+03        1.38959            0.                 0.                 4.23934E-06       33.9046E-06       755.419E-09          0.                 0.         
               20.2506E-06         0.               962.829              6.84451            0.                20.8473E-03         4.12607E-06       32.1334E-06         1.28533E-06        0.                 0.         
               21.003E-06          0.               811.78              16.3653             0.                 0.                 3.99299E-06       29.5634E-06         2.06342E-06        0.                 0.         
               21.7511E-06         0.               629.419             28.6145             0.                 0.                 3.86853E-06       26.4257E-06         3.16566E-06        0.                 0.         
               22.5035E-06         0.               467.915             52.6023             1.30317E-03        0.                 3.76662E-06       23.0108E-06         4.65672E-06        0.                 0.         
               23.2516E-06         0.               308.89              96.4066             1.03462E-03        0.                 3.63887E-06       19.5371E-06         6.54409E-06        0.                 0.         
               24.004E-06          0.               173.939            148.626              0.                 0.                 3.51781E-06       16.2593E-06         8.87658E-06      180.08E-12           0.         
               24.752E-06          0.                72.0596           224.437              2.61267E-03        0.                 3.39917E-06       13.3823E-06        11.593E-06        532.964E-12          0.         
               25.5001E-06         0.                17.1738           327.189             21.5385E-03         0.                 3.2725E-06        10.9827E-06        14.6382E-06         1.30422E-09        0.         
               26.2525E-06         0.                 0.               423.287              5.15607E-03        0.                 3.14821E-06        9.1375E-06        17.8934E-06         2.81761E-09        0.         
               27.0006E-06         0.                 0.               558.569             14.1701E-03         0.                 3.02473E-06        7.75912E-06       21.1631E-06         7.02312E-09        0.         
