
                  X                  c1                 c3                 c5                 c7                 c9                 d1                 d3                 d5                 d7                 d9       

                0.                 4.62771            0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              750.259E-09        351.486              0.                 0.                 0.                 0.                15.0046E-06         0.                 0.                 0.                 0.         
                1.50279E-06      903.612              0.                 0.                 0.                 0.                29.7247E-06         0.                 0.                 0.                 0.         
                2.25097E-06        1.53184E+03        0.                 4.24178E-09        0.                 0.                43.3132E-06        23.4195E-12         0.                 0.                 0.         
                3.0035E-06         2.09519E+03        0.               127.985E-09          0.                 3.52464E-03       55.3385E-06       446.107E-12          0.                 0.                 0.         
                3.75168E-06        2.58047E+03        5.91162E-03       75.6117E-09         0.                 2.7564E-03        64.9692E-06         8.72342E-09        0.                 0.                 0.         
                4.50425E-06        2.94255E+03       46.3037E-03         0.                 0.                 1.49014E-03       71.8324E-06        44.337E-09          0.                 0.                 0.         
                5.25247E-06        3.15294E+03      231.728E-03          1.56468E-06        0.                 0.                75.5049E-06       156.408E-09          0.                 0.                 0.         
                6.00069E-06        3.06839E+03      674.301E-03          1.11906E-06      216.476E-06          0.                75.8381E-06       431.482E-09          0.                 0.                 0.         
                6.75326E-06        2.78918E+03        2.73416            1.03875E-06        0.                 1.92437E-03       73.0755E-06         1.00223E-06        0.                 0.                 0.         
                7.50148E-06        2.27786E+03       14.8105           719.189E-09          7.45838E-03        1.54608E-03       67.7013E-06         2.03015E-06        0.                 0.                 0.         
                8.25405E-06        1.60706E+03       33.2453             2.86616E-06        0.                 0.                60.4711E-06         3.75432E-06        0.                 0.                 0.         
                9.00227E-06      904.244             85.1396             9.92703E-06        0.                 1.23362E-03       52.4849E-06         6.3256E-06         0.                 0.                 0.         
                9.75049E-06      375.427            155.359             52.6248E-06         0.               976.293E-06         44.544E-06          9.9071E-06         0.                 0.                 0.         
               10.5031E-06        51.9818           311.213            328.593E-06          2.62919E-03        0.                37.4716E-06        14.6227E-06       109.139E-12          0.                 0.         
               11.2513E-06         0.               508.956            922.388E-06          0.                 0.                31.7658E-06        20.3725E-06       478.394E-12          0.                 0.         
               12.0038E-06         0.               752.097              2.50046E-03        0.                 0.                27.4164E-06        26.961E-06          1.3988E-09         0.                 0.         
               12.7521E-06         0.                 1.06617E+03        6.13313E-03        0.                 0.                24.3582E-06        33.9893E-06         4.31646E-09        0.                 0.         
               13.5003E-06         0.                 1.37726E+03       20.446E-03          0.                 0.                22.4359E-06        40.9883E-06        16.551E-09          0.                 0.         
               14.2529E-06         0.                 1.70134E+03       78.9301E-03         0.                 0.                21.4275E-06        47.4002E-06        47.6393E-09         0.                 0.         
               15.0011E-06         0.                 1.90484E+03      200.515E-03          0.                 1.24447E-03       20.9669E-06        52.5412E-06       120.448E-09          0.                 0.         
               15.7535E-06         0.                 2.10677E+03      466.343E-03         64.0125E-06         0.                20.8664E-06        55.9912E-06       278.604E-09          0.                 0.         
               16.5016E-06         0.                 2.1783E+03         1.04541            0.                 0.                20.8973E-06        57.4044E-06       575.779E-09          0.                 0.         
               17.254E-06          0.                 2.07772E+03        4.54437            0.                 0.                20.9504E-06        56.6397E-06         1.11656E-06        0.                 0.         
               18.0021E-06         0.                 1.84035E+03       14.8948           444.173E-06          0.                20.9768E-06        53.9585E-06         2.00008E-06        0.                 0.         
               18.7501E-06         0.                 1.50496E+03       29.8635             0.               470.007E-06         20.9822E-06        49.7151E-06         3.36059E-06        0.                 0.         
               19.5026E-06         0.                 1.11261E+03       67.3233             0.                 0.                21.0542E-06        44.4342E-06         5.34128E-06        0.                 0.         
               20.2506E-06         0.               706.485            125.889            709.393E-06          0.                21.0987E-06        38.7784E-06         8.0281E-06         0.                 0.         
               21.003E-06          0.               364.546            217.337              0.                 0.                21.1364E-06        33.1787E-06        11.5194E-06         0.                 0.         
               21.7511E-06         0.               127.879            357.056              2.52086E-03      126.41E-06          21.1788E-06        28.2733E-06        15.7763E-06       349.246E-12          0.         
               22.5035E-06         0.                 8.05294          530.509              1.27404E-03        1.0103E-03        21.2162E-06        24.1924E-06        20.6779E-06         1.16415E-09        0.         
               23.2516E-06         0.                 0.               739.448              4.94688E-03        1.00257E-03       21.26E-06          21.1711E-06        25.9953E-06         2.93221E-09        0.         
               24.004E-06          0.                 0.               973.732              9.86658E-03        0.                21.26E-06          19.0466E-06        31.4453E-06        10.5283E-09         0.         
               24.752E-06          0.                 0.                 1.20079E+03       29.0594E-03         0.                21.336E-06         17.6842E-06        36.6095E-06        31.1411E-09         0.         
               25.5001E-06         0.                 0.                 1.39407E+03      118.361E-03          2.47526E-03       21.3726E-06        17.0173E-06        41.0838E-06        74.3639E-09         0.         
               26.2525E-06         0.                 0.                 1.56997E+03      296.323E-03        696.913E-06         21.4159E-06        16.6953E-06        44.5363E-06       171.072E-09          0.         
               27.0006E-06         0.                 0.                 1.66637E+03      629.504E-03        432.778E-06         21.4665E-06        16.6755E-06        46.5957E-06       354.299E-09          0.         
               27.753E-06          0.                 0.                 1.65704E+03        1.2628             0.                21.5213E-06        16.7786E-06        47.0737E-06       682.514E-09          0.         
               28.5011E-06         0.                 0.                 1.57674E+03        6.12441            0.                21.5489E-06        16.9124E-06        46.0014E-06         1.23469E-06        0.         
               29.2535E-06         0.                 0.                 1.39522E+03       16.3153             1.33698E-03       21.5561E-06        17.0773E-06        43.481E-06          2.10023E-06        0.         
               30.0015E-06         0.                 0.                 1.12682E+03       30.7459             0.                21.6145E-06        17.1728E-06        39.8805E-06         3.38107E-06        0.         
               30.754E-06          0.                 0.               849.18              64.2666             0.                21.6703E-06        17.3559E-06        35.5612E-06         5.16933E-06        0.         
               31.5024E-06         0.                 0.               573.163            116.409              7.19701E-03       21.7076E-06        17.4559E-06        30.9947E-06         7.55286E-06        0.         
               32.2508E-06         0.                 0.               322.772            188.509              0.                21.7545E-06        17.5921E-06        26.551E-06         10.5282E-06         0.         
               33.0035E-06         0.                 0.               145.183            305.37               1.12851E-03       21.7953E-06        17.7391E-06        22.5136E-06        14.1222E-06         0.         
               33.7519E-06         0.                 0.                38.2636           427.573              2.21521E-03       21.8303E-06        17.8686E-06        19.2044E-06        18.2057E-06         1.06229E-09
               34.5003E-06         0.                 0.                 0.               611.811              0.                21.838E-06         18.0315E-06        16.6498E-06        22.6072E-06         2.71393E-09
               35.253E-06          0.                 0.                 0.               779.182              0.                21.8937E-06        18.1321E-06        14.8318E-06        27.1369E-06         9.22591E-09
